,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
156,2000-08-17,1351.5,1363.05,1334.95,1341.4,53407669,2000,8.0,Uptrend,8.0,0.0,99.083622716383,-0.06574731856804561,14423464,1344.4688424061865,1
157,2000-08-18,1342.0,1360.65,1339.05,1358.05,48685807,2000,-2.0,Downtrend,0.0,2.0,99.1058782738098,-0.04644712821232977,63109271,1339.940335258931,0
158,2000-08-21,1358.75,1374.5,1358.75,1370.25,49039737,2000,13.0,Uptrend,13.0,0.0,98.92947423895082,-0.019323671497584516,112149008,1336.3761702141485,1
159,2000-08-22,1370.75,1394.9,1370.75,1381.2,52198971,2000,20.0,Uptrend,20.0,0.0,98.62951596105299,0.04815025611838375,164347979,1334.839871841132,1
160,2000-08-23,1381.6,1398.9,1376.9,1386.05,61613888,2000,4.0,Uptrend,4.0,0.0,98.56320939435979,0.02754095930017031,225961867,1338.6244424193703,1
161,2000-08-24,1386.3,1390.45,1374.9,1386.95,44508722,2000,-8.0,Downtrend,0.0,8.0,98.74560357769967,0.05211454579935526,270470589,1341.4761770673088,0
162,2000-08-25,1387.35,1396.1,1377.75,1381.25,50255008,2000,5.0,Uptrend,5.0,0.0,98.65729630863416,0.03228578902133705,220215581,1344.8520190691304,1
163,2000-08-28,1379.6,1383.45,1368.25,1369.85,37279363,2000,-12.0,Downtrend,0.0,12.0,98.91022903951468,0.027028040185934854,182936218,1347.322954768732,0
164,2000-08-29,1368.65,1373.55,1360.65,1367.7,38510859,2000,-9.0,Downtrend,0.0,9.0,99.05701165093814,0.02614697827962642,144425359,1349.025414413208,0
165,2000-08-30,1369.9,1384.85,1369.8,1375.95,43639136,2000,11.0,Uptrend,11.0,0.0,98.87337522307085,0.0370049365037497,188064495,1350.4114336295543,1
166,2000-08-31,1376.5,1397.3,1375.9,1394.1,41752795,2000,12.0,Uptrend,12.0,0.0,98.65195713779545,0.046700202717921524,229817290,1352.579288813715,1
